GEOID,locality,estimate,moe,total_households,percent,year,label
51003,"Albemarle County, Virginia",38267,693,44031,86.91,2022,English only
51003,"Albemarle County, Virginia",468,195,44031,1.06,2022,Spanish: Limited English speaking household
51003,"Albemarle County, Virginia",1720,333,44031,3.91,2022,Spanish: Not a limited English speaking household
51003,"Albemarle County, Virginia",0,31,44031,0,2022,"French, Haitian, or Cajun: Limited English speaking household"
51003,"Albemarle County, Virginia",455,146,44031,1.03,2022,"French, Haitian, or Cajun: Not a limited English speaking household"
51003,"Albemarle County, Virginia",0,31,44031,0,2022,German or other West Germanic languages: Limited English speaking household
51003,"Albemarle County, Virginia",333,139,44031,0.76,2022,German or other West Germanic languages: Not a limited English speaking household
51003,"Albemarle County, Virginia",4,7,44031,0.01,2022,"Russian, Polish, or other Slavic languages: Limited English speaking household"
51003,"Albemarle County, Virginia",180,81,44031,0.41,2022,"Russian, Polish, or other Slavic languages: Not a limited English speaking household"
51003,"Albemarle County, Virginia",111,92,44031,0.25,2022,Other Indo-European languages: Limited English speaking household
51003,"Albemarle County, Virginia",811,245,44031,1.84,2022,Other Indo-European languages: Not a limited English speaking household
51003,"Albemarle County, Virginia",20,24,44031,0.05,2022,Korean: Limited English speaking household
51003,"Albemarle County, Virginia",118,108,44031,0.27,2022,Korean: Not a limited English speaking household
51003,"Albemarle County, Virginia",163,91,44031,0.37,2022,"Chinese (incl. Mandarin, Cantonese): Limited English speaking household"
51003,"Albemarle County, Virginia",251,91,44031,0.57,2022,"Chinese (incl. Mandarin, Cantonese): Not a limited English speaking household"
51003,"Albemarle County, Virginia",11,18,44031,0.02,2022,Vietnamese: Limited English speaking household
51003,"Albemarle County, Virginia",97,73,44031,0.22,2022,Vietnamese: Not a limited English speaking household
51003,"Albemarle County, Virginia",0,31,44031,0,2022,Tagalog (incl. Filipino): Limited English speaking household
51003,"Albemarle County, Virginia",146,94,44031,0.33,2022,Tagalog (incl. Filipino): Not a limited English speaking household
51003,"Albemarle County, Virginia",21,40,44031,0.05,2022,Other Asian and Pacific Island languages: Limited English speaking household
51003,"Albemarle County, Virginia",514,208,44031,1.17,2022,Other Asian and Pacific Island languages: Not a limited English speaking household
51003,"Albemarle County, Virginia",25,18,44031,0.06,2022,Arabic: Limited English speaking household
51003,"Albemarle County, Virginia",104,73,44031,0.24,2022,Arabic: Not a limited English speaking household
51003,"Albemarle County, Virginia",12,21,44031,0.03,2022,Other and unspecified languages: Limited English speaking household
51003,"Albemarle County, Virginia",200,142,44031,0.45,2022,Other and unspecified languages: Not a limited English speaking household
